enabled,name,type,location_hint,direct_url,extra_keywords
yes,Stryker,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,GE Healthcare,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,Philips,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,Japet,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,Axorus,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,HypnoVR,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,Zimmer Biomet,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,Medes,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,Ortho Clinical Diagnostics,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,Alcon,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,Laboratoire M2S,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,CorWave,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,Volta Medical,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,EPFL,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,Clinatec,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,Carmat,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,NeuroRestore,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,UMATEM,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,LBMC,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,Proteor,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,ISIR,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,General Electric,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
yes,Packaero,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,
