enabled,name,type,location_hint,direct_url,extra_keywords,url_status,url_note,checked_on
yes,Stryker,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://careers.stryker.com/jobs,,verified_official,Official Stryker careers job search.,2026-05-27
yes,GE Healthcare,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://careers.gehealthcare.com/global/en/search-results,,verified_official,Official GE HealthCare search results.,2026-05-27
yes,Philips,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.careers.philips.com/emea/en/search-results,,verified_official,Official Philips careers search results.,2026-05-27
yes,Japet,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,,not_found,No reliable jobs/careers page found; monitor website and LinkedIn manually.,2026-05-27
yes,Axorus,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.axorus.com/,,verified_official_landing,Official site contains Careers section with jobs@axorus.com rather than a job board.,2026-05-27
yes,HypnoVR,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://fr.linkedin.com/company/hypno-vr/jobs,,linkedin_fallback,No official job board found; LinkedIn fallback.,2026-05-27
yes,Zimmer Biomet,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://careers.zimmerbiomet.com/fr/fr/search-results,,verified_official,Official Zimmer Biomet careers search results.,2026-05-27
yes,Medes,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.medes.fr/le-groupe/recrutement/,,verified_official,Official MEDES recruitment page.,2026-05-27
yes,Ortho Clinical Diagnostics,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.quidelortho.com/global/en/careers/careers-home,,verified_official,Ortho Clinical Diagnostics is now QuidelOrtho; official careers home.,2026-05-27
yes,Alcon,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://alcon.wd5.myworkdayjobs.com/careers_alcon,,verified_official_ats,Official Alcon Workday careers site.,2026-05-27
yes,Laboratoire M2S,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.univ-rennes2.fr/structure/m2s,"""Mouvement Sport Santé"" Rennes",official_labo_page_no_jobs,Lab page found; no dedicated jobs page found.,2026-05-27
yes,CorWave,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://apply.workable.com/corwave-1/,,verified_official_ats,Official Workable job board linked from CorWave careers.,2026-05-27
yes,Volta Medical,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://jobs.eu.lever.co/volta-medical,,verified_official_ats,Official Lever job board for Volta Medical.,2026-05-27
yes,EPFL,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.epfl.ch/about/working/working-at-epfl/job-openings/,,verified_official,Official EPFL job opportunities page.,2026-05-27
yes,Clinatec,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://fonds-clinatec.fr/en/careers/,,verified_official,Official Clinatec/Fonds Clinatec careers page.,2026-05-27
yes,Carmat,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.carmatsa.com/en/careers/,,verified_official,Official Carmat careers page.,2026-05-27
yes,NeuroRestore,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.neurorestore.swiss/open-position,,verified_official,Official NeuroRestore open positions page.,2026-05-27
yes,UMATEM,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,,not_found,No reliable jobs/careers page found.,2026-05-27
yes,LBMC,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://lbmc.univ-gustave-eiffel.fr/nous-rejoindre,,verified_official_labo,Official LBMC join-us page.,2026-05-27
yes,Proteor,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://fr.proteor.com/postes/,,verified_official,Official PROTEOR positions page.,2026-05-27
yes,ISIR,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.isir.upmc.fr/join-us/opportunities/?lang=en,,verified_official_labo,Official ISIR opportunities page.,2026-05-27
yes,General Electric,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.gecareers.com/global/en,,verified_official,Official GE careers site.,2026-05-27
yes,Packaero,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.aeroemploiformation.com/Emploi-Pack-Aero,"""Pack Aero"" aéronautique recrutement",third_party_fallback,No official Packaero jobs page found; aerospace job-board fallback.,2026-05-27
yes,CEA,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.emploi.cea.fr/homepage.aspx,,verified_official,Official CEA career portal.,2026-05-27
yes,UPEC LISSI,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.u-pec.fr/fr/universite/recrutement,"LISSI ""Laboratoire Images Signaux et Systèmes Intelligents""",verified_official_university,UPEC official recruitment page; add LISSI keywords in searches.,2026-05-27
yes,University of Waterloo,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://uwaterloo.wd3.myworkdayjobs.com/uw_careers,,verified_official_ats,Official Waterloo Workday careers portal.,2026-05-27
yes,ULB,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.ulb.be/fr/travailler-et-collaborer/offres-d-emploi,,verified_official_university,Official ULB job offers page.,2026-05-27
yes,Robotex,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,"""Robotex"" robotics jobs",not_found,Ambiguous organization name; no reliable careers page identified.,2026-05-27
yes,Microsoft Research,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.microsoft.com/en-us/research/careers/open-positions/,,verified_official,Official Microsoft Research open positions page.,2026-05-27
yes,Cisteo,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.cisteomedical.com/en/career/,,verified_official,Official Cisteo Medical career page.,2026-05-27
yes,Keri Medical,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.kerimedical.com/en/careers/,,verified_official,Official KeriMedical careers page.,2026-05-27
yes,Medtronic,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.medtronic.com/fr-fr/notre-entreprise/carrieres.html,,verified_official,Official Medtronic France careers page.,2026-05-27
yes,Abbott,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.jobs.abbott/global/en,,verified_official,Official Abbott jobs portal.,2026-05-27
yes,Merck,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://careers.merckgroup.com/global/en/search-results,,verified_official,Merck Group careers search results.,2026-05-27
yes,Biotronik,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.biotronik.com/en-int/careers/careers-biotronik,,verified_official,Official BIOTRONIK careers page.,2026-05-27
yes,Zeiss,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.zeiss.com/career/en/job-search.html,,verified_official,Official ZEISS job search.,2026-05-27
