enabled,name,type,location_hint,direct_url,direct_url_2,direct_url_3,linkedin_jobs_url,hellowork_jobs_url,indeed_jobs_url,extra_keywords,url_status,url_note,checked_on
yes,Stryker,entreprise,France OR Suisse OR Switzerland,https://careers.stryker.com/jobs,,,https://www.linkedin.com/jobs/search/?keywords=Stryker+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Stryker+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Stryker+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official,Official Stryker careers job search.,2026-05-29
yes,GE Healthcare,entreprise,France OR Suisse OR Switzerland,https://careers.gehealthcare.com/global/en/search-results,,,https://www.linkedin.com/jobs/search/?keywords=GE+Healthcare+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=GE+Healthcare+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=GE+Healthcare+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official,Official GE HealthCare search results.,2026-05-29
yes,Philips,entreprise,France OR Suisse OR Switzerland,https://www.careers.philips.com/emea/en/search-results,,,https://www.linkedin.com/jobs/search/?keywords=Philips+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Philips+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Philips+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official,Official Philips careers search results.,2026-05-29
yes,Japet,entreprise,France OR Suisse OR Switzerland,https://www.linkedin.com/company/japet/jobs/,,,https://www.linkedin.com/jobs/search/?keywords=Japet+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Japet+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Japet+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,not_found,No reliable jobs/careers page found; monitor website and LinkedIn manually.,2026-05-29
yes,HypnoVR,entreprise,France OR Suisse OR Switzerland,https://fr.linkedin.com/company/hypno-vr/jobs,,,https://www.linkedin.com/jobs/search/?keywords=HypnoVR+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=HypnoVR+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=HypnoVR+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,linkedin_fallback,No official job board found; LinkedIn fallback.,2026-05-29
yes,Zimmer Biomet,entreprise,France OR Suisse OR Switzerland,https://careers.zimmerbiomet.com/fr/fr/search-results,,,https://www.linkedin.com/jobs/search/?keywords=Zimmer+Biomet+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Zimmer+Biomet+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Zimmer+Biomet+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official,Official Zimmer Biomet careers search results.,2026-05-29
yes,Medes,entreprise,France OR Suisse OR Switzerland,https://www.medes.fr/le-groupe/recrutement/,,,https://www.linkedin.com/jobs/search/?keywords=Medes+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Medes+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Medes+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official,Official MEDES recruitment page.,2026-05-29
yes,Ortho Clinical Diagnostics,entreprise,France OR Suisse OR Switzerland,https://orthoclinical.wd1.myworkdayjobs.com/fr-FR/Search,,,https://www.linkedin.com/jobs/search/?keywords=Ortho+Clinical+Diagnostics+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Ortho+Clinical+Diagnostics+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Ortho+Clinical+Diagnostics+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official,Ortho Clinical Diagnostics is now QuidelOrtho; official careers home.,2026-05-29
yes,Alcon,entreprise,France OR Suisse OR Switzerland,https://alcon.wd5.myworkdayjobs.com/careers_alcon,,,https://www.linkedin.com/jobs/search/?keywords=Alcon+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Alcon+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Alcon+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official_ats,Official Alcon Workday careers site.,2026-05-29
yes,CorWave,entreprise,France OR Suisse OR Switzerland,https://apply.workable.com/corwave-1/,,,https://www.linkedin.com/jobs/search/?keywords=CorWave+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=CorWave+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=CorWave+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official_ats,Official Workable job board linked from CorWave careers.,2026-05-29
yes,Volta Medical,entreprise,France OR Suisse OR Switzerland,https://jobs.eu.lever.co/volta-medical,,,https://www.linkedin.com/jobs/search/?keywords=Volta+Medical+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Volta+Medical+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Volta+Medical+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official_ats,Official Lever job board for Volta Medical.,2026-05-29
yes,EPFL,labo,France OR Suisse OR Switzerland,https://www.epfl.ch/about/working/working-at-epfl/job-openings/,,,https://www.linkedin.com/jobs/search/?keywords=EPFL+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=EPFL+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=EPFL+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_official,EPFL job opportunities.,2026-05-29
yes,Clinatec,labo,France OR Suisse OR Switzerland,https://fonds-clinatec.fr/en/whats-new-at-clinatec/?e-filter-118656a-category=recrutement-en,,,https://www.linkedin.com/jobs/search/?keywords=Clinatec+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Clinatec+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Clinatec+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official,Official Clinatec/Fonds Clinatec careers page.,2026-05-29
yes,NeuroRestore,labo,France OR Suisse OR Switzerland,https://www.neurorestore.swiss/open-position,,,https://www.linkedin.com/jobs/search/?keywords=NeuroRestore+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=NeuroRestore+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=NeuroRestore+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official,Official NeuroRestore open positions page.,2026-05-29
yes,LBMC,labo,France OR Suisse OR Switzerland,https://lbmc.univ-gustave-eiffel.fr/nous-rejoindre/theses,https://lbmc.univ-gustave-eiffel.fr/nous-rejoindre/post-doctorants,,https://www.linkedin.com/jobs/search/?keywords=LBMC+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=LBMC+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=LBMC+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,Pages LBMC thèses et post-doctorants.,2026-05-29
yes,Proteor,entreprise,France OR Suisse OR Switzerland,https://fr.proteor.com/postes/,,,https://www.linkedin.com/jobs/search/?keywords=Proteor+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Proteor+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Proteor+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official,Official PROTEOR positions page.,2026-05-29
yes,ISIR,labo,France OR Suisse OR Switzerland,https://www.isir.upmc.fr/join-us/opportunities/?lang=en,,,https://www.linkedin.com/jobs/search/?keywords=ISIR+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=ISIR+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=ISIR+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official_labo,Official ISIR opportunities page.,2026-05-29
yes,CEA,labo,France OR Suisse OR Switzerland,https://www.emploi.cea.fr/offre-de-emploi/liste-offres.aspx,,,https://www.linkedin.com/jobs/search/?keywords=CEA+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=CEA+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=CEA+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_official,CEA official job offers.,2026-05-29
yes,University of Waterloo,labo,France OR Suisse OR Switzerland,https://uwaterloo.wd3.myworkdayjobs.com/uw_careers,,,https://www.linkedin.com/jobs/search/?keywords=University+of+Waterloo+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=University+of+Waterloo+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=University+of+Waterloo+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official_ats,Official Waterloo Workday careers portal.,2026-05-29
yes,ULB,labo,France OR Suisse OR Switzerland,https://www.ulb.be/fr/offres-d-emploi/offres-demploi-a-lulb-externes,,,https://www.linkedin.com/jobs/search/?keywords=ULB+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=ULB+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=ULB+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,Portail offres externes ULB; le script filtrera France/Suisse.,2026-05-29
yes,Cisteo,entreprise,France OR Suisse OR Switzerland,https://www.cisteomedical.com/en/career/,,,https://www.linkedin.com/jobs/search/?keywords=Cisteo+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Cisteo+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Cisteo+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official,Official Cisteo Medical career page.,2026-05-29
