enabled,name,type,location_hint,direct_url,direct_url_2,direct_url_3,direct_url_4,direct_url_5,direct_url_6,direct_url_7,direct_url_8,direct_url_9,direct_url_10,linkedin_jobs_url,hellowork_jobs_url,indeed_jobs_url,welcome_jobs_url,extra_keywords,url_status,url_note,checked_on
yes,Stryker,entreprise,France OR Suisse OR Switzerland,https://careers.stryker.com/jobs,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Stryker+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Stryker+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Stryker+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Stryker+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,verified_official,Official Stryker careers job search.,2026-05-29
yes,GE Healthcare,entreprise,France OR Suisse OR Switzerland,https://careers.gehealthcare.com/global/en/search-results,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=GE+Healthcare+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=GE+Healthcare+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=GE+Healthcare+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=GE+Healthcare+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,verified_official,Official GE HealthCare search results.,2026-05-29
yes,Philips,entreprise,France OR Suisse OR Switzerland,https://www.careers.philips.com/emea/en/search-results,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Philips+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Philips+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Philips+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Philips+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,"source entreprises.csv, Dispositifs médicaux, ville Suresnes, ingénieur R&D, dispositif médical, innovation médicale",verified_official,Official Philips careers search results. + aussi présent dans entreprises.csv,2026-05-29
yes,Japet,entreprise,France OR Suisse OR Switzerland,https://www.linkedin.com/company/japet/jobs/,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Japet+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Japet+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Japet+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Japet+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,not_found,No reliable jobs/careers page found; monitor website and LinkedIn manually.,2026-05-29
yes,HypnoVR,entreprise,France OR Suisse OR Switzerland,https://fr.linkedin.com/company/hypno-vr/jobs,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=HypnoVR+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=HypnoVR+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=HypnoVR+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=HypnoVR+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,linkedin_fallback,No official job board found; LinkedIn fallback.,2026-05-29
yes,Zimmer Biomet,entreprise,France OR Suisse OR Switzerland,https://careers.zimmerbiomet.com/fr/fr/search-results,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Zimmer+Biomet+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Zimmer+Biomet+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Zimmer+Biomet+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Zimmer+Biomet+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,verified_official,Official Zimmer Biomet careers search results.,2026-05-29
yes,Medes,entreprise,France OR Suisse OR Switzerland,https://www.medes.fr/le-groupe/recrutement/,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Medes+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Medes+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Medes+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Medes+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,verified_official,Official MEDES recruitment page.,2026-05-29
yes,Ortho Clinical Diagnostics,entreprise,France OR Suisse OR Switzerland,https://orthoclinical.wd1.myworkdayjobs.com/fr-FR/Search,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Ortho+Clinical+Diagnostics+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Ortho+Clinical+Diagnostics+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Ortho+Clinical+Diagnostics+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Ortho+Clinical+Diagnostics+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,verified_official,Ortho Clinical Diagnostics is now QuidelOrtho; official careers home.,2026-05-29
yes,Alcon,entreprise,France OR Suisse OR Switzerland,https://alcon.wd5.myworkdayjobs.com/careers_alcon,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Alcon+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Alcon+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Alcon+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Alcon+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,verified_official_ats,Official Alcon Workday careers site.,2026-05-29
yes,CorWave,entreprise,France OR Suisse OR Switzerland,https://apply.workable.com/corwave-1/,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=CorWave+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=CorWave+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=CorWave+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=CorWave+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,verified_official_ats,Official Workable job board linked from CorWave careers.,2026-05-29
